qId,source_ref,stem
R2gakkaA-006,R2 学科A No.6,コンクリート用骨材に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-007,R2 学科A No.7,コンクリート用混和材料に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-008,R2 学科A No.8,コンクリートの打込み・締固めに関する次の記述のうち、適当でないものはどれか。
R2gakkaA-009,R2 学科A No.9,コンクリートの配合に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-010,R2 学科A No.10,鉄筋の加工・組立に関する次の記述のうち、適当なものはどれか。
R2gakkaA-011,R2 学科A No.11,コンクリートの養生に関する次の記述のうち、適当なものはどれか。
R2gakkaA-012,R2 学科A No.12,構造物の基礎に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-013,R2 学科A No.13,中掘り杭工法の施工に関する次の記述のうち、適当なものはどれか。
R2gakkaA-014,R2 学科A No.14,場所打ち杭工法の施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-015,R2 学科A No.15,土留め支保工の施工に関する次の記述のうち、適当なものはどれか。
R2gakkaA-016,R2 学科A No.16,鋼道路橋の架設上の留意事項に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-017,R2 学科A No.17,鋼道路橋に用いる耐候性鋼材に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-018,R2 学科A No.18,鋼道路橋における高力ボルトの締付け作業に関する次の記述のうち、適当なものはどれ か。
R2gakkaA-019,R2 学科A No.19,コンクリート構造物の劣化に関する次の記述のうち、適当なものはどれか。
R2gakkaA-020,R2 学科A No.20,損傷を生じた鉄筋コンクリート構造物の補修に関する次の記述のうち、適当でないもの はどれか。
R2gakkaA-021,R2 学科A No.21,河川堤防の施工に関する次の記述のうち、適当なものはどれか。
R2gakkaA-022,R2 学科A No.22,河川堤防における軟弱地盤対策工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-023,R2 学科A No.23,多自然川づくりにおける護岸に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-024,R2 学科A No.24,砂防えん堤の基礎の施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-025,R2 学科A No.25,地すべり防止工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-026,R2 学科A No.26,急傾斜地崩壊防止工に関する次の記述のうち、適当なものはどれか。
R2gakkaA-027,R2 学科A No.27,道路のアスファルト舗装における路床の施工に関する次の記述のうち、適当でないもの はどれか。
R2gakkaA-028,R2 学科A No.28,道路のアスファルト舗装における路盤の施工に関する次の記述のうち、適当でないもの はどれか。
R2gakkaA-029,R2 学科A No.29,"道路のアスファルト舗装における表層・基層の施工に関する次の記述のうち, 適当でないものはどれか。"
R2gakkaA-030,R2 学科A No.30,道路のアスファルト舗装における補修工法に関する次の記述のうち、適当でないものは どれか。
R2gakkaA-031,R2 学科A No.31,道路のポーラスアスファルト混合物の舗設に関する次の記述のうち、適当でないものは どれか。
R2gakkaA-032,R2 学科A No.32,道路のコンクリート舗装に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-033,R2 学科A No.33,ダムの基礎処理に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-034,R2 学科A No.34,重力式コンクリートダムで各部位のダムコンクリートの配合区分と必要な品質に関する 次の記述のうち、適当なものはどれか。
R2gakkaA-035,R2 学科A No.35,トンネルの山岳工法における掘削の施工に関する次の記述のうち、適当でないものはど れか。
R2gakkaA-036,R2 学科A No.36,"トンネルの山岳工法における覆工コンクリートの施工に関する次の記述のうち, 適当でないものはどれか。"
R2gakkaA-038,R2 学科A No.38,海岸堤防の施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-039,R2 学科A No.39,ケーソンの施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-040,R2 学科A No.40,港湾工事に用いる浚渫船の特徴に関する次の記述のうち、適当なものはどれか。
R2gakkaA-041,R2 学科A No.41,鉄道のコンクリート路盤の施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-042,R2 学科A No.42,鉄道の軌道における維持管理に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-043,R2 学科A No.43,鉄道(在来線)の営業線及びこれに近接して工事を施工する場合の保安対策に関する次 の記述のうち、適当でないものはどれか。
R2gakkaA-044,R2 学科A No.44,シールド工法の施工に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-045,R2 学科A No.45,鋼橋の防食に関する次の記述のうち、適当でないものはどれか。
R2gakkaA-046,R2 学科A No.46,"軟弱地盤や液状化のおそれのある地盤における上水道管布設に関する次の記述のうち, 適当でないものはどれか。"
R2gakkaA-047,R2 学科A No.47,下水道に用いられる剛性管きょの基礎の種類に関する次の記述のうち、適当でないもの はどれか。
R2gakkaA-049,R2 学科A No.49,薬液注入工事における注入効果の確認方法に関する次の記述のうち、適当なものはどれ か。 挨5
R2gakkaA-050,R2 学科A No.50,就業規則に関する次の記述のうち、労働基準法令上、誤っているものはどれか。
R2gakkaA-051,R2 学科A No.51,労働基準法令に定められている労働時間、休憩及び年次有給休暇に関する次の記述のう ち、正しいものはどれか。
R2gakkaA-052,R2 学科A No.52,事業者が統括安全衛生責任者に統括管理させなければならない事項に関する次の記述の うち、労働安全衛生法令上、誤っているものはどれか。
R2gakkaA-053,R2 学科A No.53,"労働安全衛生法令上、高さが m 以上のコンクリート造の工作物の解体作業における 危険を防止するために、事業者が行わなければならない事項に関する次の記述のうち, "
R2gakkaA-054,R2 学科A No.54,技術者制度に関する次の記述のうち、建設業法令上、誤っているものはどれか。
R2gakkaA-055,R2 学科A No.55,火薬類取締法令上、火薬類の取扱い等に関する次の記述のうち、正しいものはどれか。
R2gakkaA-056,R2 学科A No.56,車両制限令で定められている通行車両の最高限度を超過する特殊な車両の通行に関する 次の記述のうち、道路法上、誤っているものはどれか。
R2gakkaA-057,R2 学科A No.57,河川管理者以外の者が、河川区域内(高規格堤防特別区域を除く)で工事を行う場合の 手続きに関する次の記述のうち、河川法上、誤っているものはどれか。
R2gakkaA-058,R2 学科A No.58,建築基準法上、工事現場に設ける仮設建築物に対する制限の緩和が適用されないもの は、次の記述のうちどれか。
R2gakkaA-059,R2 学科A No.59,騒音規制法令上、特定建設作業に関する次の記述のうち、誤っているものはどれか。
R2gakkaA-060,R2 学科A No.60,"振動規制法令上、指定地域内で特定建設作業を伴う建設工事を施工しようとする者が, 市町村長に届け出なければならない事項に該当しないものは、次のうちどれか。"
R2gakkaA-061,R2 学科A No.61,船舶の航行又は港長の許可に関する次の記述のうち、港則法令上、誤っているものはど れか。
R2gakkaB-001,R2 学科B No.1,"TS(トータルステーション)を用いて行う測量に関する次の記述のうち, 適当でないものはどれか。"
R2gakkaB-002,R2 学科B No.2,公共工事標準請負契約約款に関する次の記述のうち、誤っているものはどれか。
R2gakkaB-003,R2 学科B No.3,下図は、工事起点No. 0から工事終点No. 5(工事区間延長500 m)の道路改良工事の 土積曲線(マスカーブ)を示したものであるが、次の記述のうち、適当でな
R2gakkaB-004,R2 学科B No.4,建設機械用エンジンの特徴に関する次の記述のうち、適当でないものはどれか。
R2gakkaB-005,R2 学科B No.5,施工計画に関する次の記述のうち、適当でないものはどれか。
R2gakkaB-007,R2 学科B No.7,公共工事における施工体制台帳に関する次の記述のうち、適当でないものはどれか。
R2gakkaB-008,R2 学科B No.8,工事の原価管理に関する次の記述のうち、適当でないものはどれか。
R2gakkaB-009,R2 学科B No.9,建設機械の選定に関する次の記述のうち、適当でないものはどれか。
R2gakkaB-012,R2 学科B No.12,下図のネットワーク式工程表に関する次の記述のうち、適当なものはどれか。
R2gakkaB-013,R2 学科B No.13,工程管理に用いられるバーチャート工程表に関する次の記述のうち、適当でないものは どれか。
R2gakkaB-014,R2 学科B No.14,"労働安全衛生法令上、元方事業者の講ずべき措置等として次の記述のうち, 誤っているものはどれか。"
R2gakkaB-015,R2 学科B No.15,"施工中の建設工事現場における異常気象時の安全対策に関する次の記述のうち, 適当でないものはどれか。"
R2gakkaB-016,R2 学科B No.16,建設工事の労働災害防止対策に関する次の記述のうち、適当でないものはどれか。
R2gakkaB-017,R2 学科B No.17,型枠支保工に関する次の記述のうち、事業者が講じるべき措置として、労働安全衛生法 令上、誤っているものはどれか。
R2gakkaB-018,R2 学科B No.18,建設工事における墜落災害の防止に関する次の記述のうち、事業者が講じるべき措置と して、適当なものはどれか。
R2gakkaB-019,R2 学科B No.19,建設機械の災害防止に関する次の記述のうち、事業者が講じるべき措置として、労働安 全衛生法令上、誤っているものはどれか。
R2gakkaB-022,R2 学科B No.22,"埋設物ならびに架空線に近接して行う工事の安全管理に関する次の記述のうち, 適当でないものはどれか。"
R2gakkaB-023,R2 学科B No.23,労働安全衛生法令上、事業者が行うべき労働者の疾病予防及び健康管理に関する次の記 述のうち、誤っているものはどれか。
R2gakkaB-025,R2 学科B No.25,品質管理に関する次の記述のうち、適当でないものはどれか。
R2gakkaB-026,R2 学科B No.26,道路のアスファルト舗装の品質管理に関する次の記述のうち、適当でないものはどれ か。
R2gakkaB-027,R2 学科B No.27,情報化施工におけるTS(トータルステーション)・GNSS(衛星測位システム)を用い た盛土の締固め管理に関する次の記述のうち、適当でないものはどれか。
R2gakkaB-028,R2 学科B No.28,建設工事の品質管理における工種、品質特性及び試験方法に関する次の組合 せのうち、適当なものはどれか。
R2gakkaB-029,R2 学科B No.29,JIS A 5308に準拠したレディーミクストコンクリートの受入れ検査に関する次の記述 のうち、適当でないものはどれか。
R2gakkaB-030,R2 学科B No.30,鉄筋の継手に関する次の記述のうち、適当でないものはどれか。
R2gakkaB-031,R2 学科B No.31,鉄筋コンクリート構造物のコンクリート強度を推定する方法として、次のうち 適当でないものはどれか。
R2gakkaB-032,R2 学科B No.32,建設工事にともなう騒音・振動対策に関する次の記述のうち、適当でないものはどれ か。
R2gakkaB-033,R2 学科B No.33,建設工事における水質汚濁対策に関する次の記述のうち、適当なものはどれか。
R2gakkaB-034,R2 学科B No.34,建設工事に係る資材の再資源化等に関する法律(建設リサイクル法)に関する次の 記述のうち、誤っているものはどれか。
R2gakkaB-035,R2 学科B No.35,廃棄物の処理及び清掃に関する法律に関する次の記述のうち、誤っているものはど れか。
R3gakkaA-001,R3 学科A No.1,土質試験結果の活用に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-002,R3 学科A No.2,法面保護工の施工に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-003,R3 学科A No.3,TS(トータルステーション)・GNSS(全球測位衛星システム)を用いた情報化施工 による盛土工に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-004,R3 学科A No.4,"建設発生土を工作物の埋戻しに利用する際の留意点に関する次の記述のうち, 適当でないものはどれか。 ただし、工作物の埋戻しとは、道路その他の地表面下に埋設、又は構"
R3gakkaA-005,R3 学科A No.5,軟弱地盤対策工法に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-006,R3 学科A No.6,コンクリート用粗骨材に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-008,R3 学科A No.8,コンクリートの打込みに関する次の記述のうち、適当でないものはどれか。
R3gakkaA-012,R3 学科A No.12,"道路橋で用いられる基礎形式の種類とその特徴に関する次の記述のうち, 適当でないものはどれか。"
R3gakkaA-013,R3 学科A No.13,既製杭の施工に関する次の記述のうち、適当なものはどれか。
R3gakkaA-014,R3 学科A No.14,"場所打ち杭工法における支持層の確認及び支持層への根入れに関する次の記述のうち, 適当なものはどれか。"
R3gakkaA-015,R3 学科A No.15,土留め工の施工に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-016,R3 学科A No.16,鋼橋における架設の施工に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-017,R3 学科A No.17,鋼道路橋における溶接に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-018,R3 学科A No.18,"鋼道路橋における高力ボルトの施工及び検査に関する次の記述のうち, 適当でないものはどれか。"
R3gakkaA-019,R3 学科A No.19,"コンクリートのアルカリシリカ反応の抑制対策に関する次の記述のうち, 適当でないものはどれか。"
R3gakkaA-022,R3 学科A No.22,河川護岸に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-023,R3 学科A No.23,河川堤防における軟弱地盤対策工に関する次の記述のうち、適当なものはどれか。
R3gakkaA-025,R3 学科A No.25,地すべり防止工に関する次の記述のうち、適当なものはどれか。
R3gakkaA-026,R3 学科A No.26,急傾斜地崩壊防止工に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-028,R3 学科A No.28,"道路のアスファルト舗装における路盤の施工に関する次の記述のうち, 適当でないものはどれか。"
R3gakkaA-029,R3 学科A No.29,"道路のアスファルト舗装における基層・表層の施工に関する次の記述のうち, 適当でないものはどれか。"
R3gakkaA-031,R3 学科A No.31,道路のアスファルト舗装の各種舗装の特徴に関する次の記述のうち、適当でないもの はどれか。
R3gakkaA-033,R3 学科A No.33,ダムの基礎処理に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-034,R3 学科A No.34,ダムにおけるRCD 用コンクリートの打込みに関する次の記述のうち、適当でないもの はどれか。
R3gakkaA-035,R3 学科A No.35,トンネルの山岳工法における補助工法に関する次の記述のうち、適当でないものはど れか。
R3gakkaA-036,R3 学科A No.36,トンネルの山岳工法における支保工に関する次の記述のうち、適当でないものはどれ か。
R3gakkaA-037,R3 学科A No.37,海岸の傾斜型護岸の施工に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-041,R3 学科A No.41,鉄道の砕石路盤の施工に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-042,R3 学科A No.42,鉄道の軌道における維持管理に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-044,R3 学科A No.44,シールド工法のセグメントに関する次の記述のうち、適当でないものはどれか。
R3gakkaA-046,R3 学科A No.46,上水道の配水管の埋設位置及び深さに関する次の記述のうち、適当でないものはどれ か。
R3gakkaA-047,R3 学科A No.47,下水道管渠の更生工法に関する次の記述のうち、適当なものはどれか。
R3gakkaA-049,R3 学科A No.49,薬液注入工事の施工管理に関する次の記述のうち、適当でないものはどれか。
R3gakkaA-050,R3 学科A No.50,労働基準法に定められている労働契約に関する次の記述のうち、誤っているものは どれか。
R3gakkaA-051,R3 学科A No.51,労働時間及び休暇・休日に関する次の記述のうち、労働基準法上、正しいものはど れか。
R3gakkaA-052,R3 学科A No.52,事業者が統括安全衛生責任者に統括管理させなければならない事項に関する次の記述 のうち、労働安全衛生法上、誤っているものはどれか。
R3gakkaA-053,R3 学科A No.53,高さがRm 以上のコンクリート造の工作物の解体等の作業における危険を防止するた めに、事業者又はコンクリート造の工作物の解体等作業主任者(以下、解体等作業 主任
R3gakkaA-054,R3 学科A No.54,技術者制度に関する次の記述のうち、建設業法令上、誤っているものはどれか。
R3gakkaA-055,R3 学科A No.55,火薬類取締法令上、火薬類の取扱い等に関する次の記述のうち、正しいものはどれ か。
R3gakkaA-056,R3 学科A No.56,道路上で行う工事、又は行為についての許可、又は承認に関する次の記述のうち、道 路法令上、誤っているものはどれか。
R3gakkaA-057,R3 学科A No.57,河川管理者以外の者が、河川区域内(高規格堤防特別区域を除く)で工事を行う場合の 手続きに関する次の記述のうち、誤っているものはどれか。
R3gakkaA-058,R3 学科A No.58,工事現場に設ける仮設建築物の制限の緩和に関する次の記述のうち、建築基準法令 上、適用されないものはどれか。
R3gakkaA-059,R3 学科A No.59,騒音規制法令上、指定地域内で行う次の建設作業のうち、特定建設作業に 該当しないものはどれか。 ただし、当該作業がその作業を開始した日に終わるもの、及び使用する機
R3gakkaA-060,R3 学科A No.60,振動規制法令上、指定地域内で行う次の建設作業のうち、特定建設作業に 該当しないものはどれか。
R3gakkaA-061,R3 学科A No.61,船舶の航行、又は工事の許可等に関する次の記述のうち、港則法上、正しいものはど れか。
R3gakkaB-001,R3 学科B No.1,"TS(トータルステーション)を用いて行う測量に関する次の記述のうち, 適当でないものはどれか。"
R3gakkaB-002,R3 学科B No.2,公共工事標準請負契約約款に関する次の記述のうち、誤っているものはどれか。
R3gakkaB-003,R3 学科B No.3,下図は、鉄筋コンクリートL 型擁壁の配筋図を示したものである。たて壁とかかと版 の引張鉄筋の組合せで、正しいものはどれか。
R3gakkaB-005,R3 学科B No.5,"工事の施工に伴う関係機関への届出及び許可に関する次の記述のうち, 適当でないものはどれか。"
R3gakkaB-007,R3 学科B No.7,安全衛生管理体制に関する次の記述のうち、労働安全衛生法令上、誤っているものは どれか。
R3gakkaB-008,R3 学科B No.8,"建設工事現場における異常気象時の安全対策に関する次の記述のうち, 適当でないものはどれか。"
R3gakkaB-009,R3 学科B No.9,建設工事の労働災害防止対策に関する次の記述のうち、適当でないものはどれか。
R3gakkaB-010,R3 学科B No.10,型わく支保工に関する次の記述のうち、労働安全衛生法令上、誤っているものはどれ か。
R3gakkaB-012,R3 学科B No.12,土工工事における明り掘削の作業にあたり事業者が遵守しなければならない事項に関 する次の記述のうち、労働安全衛生法令上、正しいものはどれか。
R3gakkaB-013,R3 学科B No.13,静的破砕剤と大型ブレーカを併用する工法で行う橋梁下部工の解体作業に関する次の 記述のうち、適当でないものはどれか。
R3gakkaB-014,R3 学科B No.14,道路のアスファルト舗装の品質管理に関する次の記述のうち、適当でないものはどれ か。
R3gakkaB-015,R3 学科B No.15,建設工事の品質管理における工種、品質特性及び試験方法に関する組合せの うち、適当なものは次のうちどれか。
R3gakkaB-016,R3 学科B No.16,コンクリート標準示方書に規定されているレディーミクストコンクリートの受入れ検 査項目に関する次の記述のうち、適当でないものはどれか。
R3gakkaB-018,R3 学科B No.18,建設工事における騒音・振動対策に関する次の記述のうち、適当でないものはどれか。
R3gakkaB-019,R3 学科B No.19,建設工事で発生する建設副産物の有効利用に関する次の記述のうち、適当でないもの はどれか。
R3gakkaB-021,R3 学科B No.21,施工計画作成の留意事項に関する下記の文章中のの(イ)〜(ニ)に当てはまる語 句の組合せとして、適当なものは次のうちどれか。
R3gakkaB-022,R3 学科B No.22,公共工事における施工体制台帳作成に関する下記の文章中のの(イ)〜(ニ)に 当てはまる語句の組合せとして、適当なものは次のうちどれか。
R3gakkaB-023,R3 学科B No.23,工事の原価管理に関する下記の文章中のの(イ)〜(ニ)に当てはまる語句の組合 せとして、適当なものは次のうちどれか。
R3gakkaB-024,R3 学科B No.24,建設機械の選定に関する下記の文章中のの(イ)〜(ニ)に当てはまる語句の組合 せとして、適当なものは次のうちどれか。
R3gakkaB-026,R3 学科B No.26,"工程管理に用いられる各工程表の特徴に関する下記の文章中のの(イ)〜(ニ) に当てはまる語句の組合せとして, 適当なものは次のうちどれか。"
R3gakkaB-027,R3 学科B No.27,"工程管理に用いられる横線式工程表(バーチャート)に関する下記の文章中の の(イ)〜(ニ)に当てはまる語句の組合せとして, 適当なものは次のうちどれか。"
R3gakkaB-028,R3 学科B No.28,"建設機械の災害防止のために事業者が講じるべき措置に関する下記の文章中の のR 〜S に当てはまる語句の組合せとして、労働安全衛生法令上, 正しいものは次のうちど"
R3gakkaB-029,R3 学科B No.29,"移動式クレーンの災害防止のために事業者が講じるべき措置に関する下記の文章中 のの(イ)〜(ニ)に当てはまる語句の組合せとして、クレーン等安全規則上, 正しいもの"
R3gakkaB-031,R3 学科B No.31,労働者の健康管理のために事業者が講じるべき措置に関する下記の文章中の の(イ)〜(ニ)に当てはまる語句の組合せとして、適当なものは次のうちどれか。
R3gakkaB-032,R3 学科B No.32,品質管理に関する下記の文章中のの(イ)〜(ニ)に当てはまる語句の組合せとし て、適当なものは次のうちどれか。
R3gakkaB-034,R3 学科B No.34,機械式鉄筋継手に関する下記の文章中のの(イ)〜(ニ)に当てはまる語句の組合 せとして、適当なものは次のうちどれか。
R3gakkaB-035,R3 学科B No.35,プレキャストコンクリート構造物の接合施工に関する下記の文章中ののR 〜Sに当てはまる語句の組合せとして、適当なものは次のうちどれか。
